"Sample","Score"
"GSM528423.CEL.gz",0.115611438395326
"GSM528424.CEL.gz",0.190546968367692
"GSM528425.CEL.gz",2.44882752802901
"GSM528426.CEL.gz",1.22574982354746
"GSM528427.CEL.gz",0.754927363146217
"GSM528428.CEL.gz",0.690208594298037
"GSM528429.CEL.gz",1.81031475879489
"GSM528430.CEL.gz",-0.0300970417801537
"GSM528431.CEL.gz",0.485677089052105
"GSM528432.CEL.gz",0.843990672451171
"GSM528433.CEL.gz",0.651298761703073
